Avonet_Species,Genus,Family,Order,Habitat,Primary.Lifestyle,Mass,Status,Source,scientificName,Bird_Type_Coarse,Volancy,IslandEndemic,Volancy_Source,Migratory_status,Extent_of_occurrence_km2,Generation_length_yrs,Neartic,Paleartic,Afrotropical,Neotropical,Indomalayan,Australasian,Oceanic,Breeding_Distribution,Number_islands_extant,Parasite,Mound,NestSite_ground,NestSite_tree,NestSite_nontree,NestSite_cliff_bank,NestSite_underground,NestSite_waterbody,NestSite_termite_ant,Bird_Type
Lewinia muelleri,Lewinia,Rallidae,Gruiformes,Forest,Terrestrial,93,Extant,,Lewinia muelleri,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,360,3.7,0,0,0,0,0,1,1,,,0,0,0,0,1,0,0,0,0,Landbirds
Loxioides bailleui,Loxioides,Fringillidae,Passeriformes,Woodland,Insessorial,37.8266666666667,Extant,,Loxioides bailleui,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,350,6.8,0,0,0,0,0,0,1,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Loxops caeruleirostris,Loxops,Fringillidae,Passeriformes,Forest,Insessorial,10.8,Extant,,Loxops caeruleirostris,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,5,5.8,0,0,0,0,0,1,1,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Loxops coccineus,Loxops,Fringillidae,Passeriformes,Forest,Insessorial,10.5,Extant,,Loxops coccineus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,2300,5.8,0,0,0,0,0,1,1,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Macrocephalon maleo,Macrocephalon,Megapodiidae,Galliformes,Forest,Terrestrial,1563.27333333333,Extant,,Macrocephalon maleo,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,384000,16,0,0,0,0,0,0,1,Islands,2,0,0,0,0,0,0,1,0,0,Landbirds
Magumma parva,Magumma,Fringillidae,Passeriformes,Forest,Insessorial,9.3,Extant,,Magumma parva,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,480,5.5,0,0,0,0,0,1,1,,,0,0,0,1,0,0,0,0,0,Landbirds
Mayrornis versicolor,Mayrornis,Monarchidae,Passeriformes,Forest,Insessorial,29,Extant,,Mayrornis versicolor,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,28,4.2,0,0,0,0,0,1,1,,,,,,,,,,,,Landbirds
Megapodius laperouse,Megapodius,Megapodiidae,Galliformes,Forest,Terrestrial,308,Extant,,Megapodius laperouse,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,481000,4,0,0,0,0,0,1,1,Islands,28,0,1,0,0,0,0,1,0,0,Landbirds
Melamprosops phaeosoma,Melamprosops,Fringillidae,Passeriformes,Forest,Insessorial,25.5,Extinct,Genus average,Melamprosops phaeosoma,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Melanospiza richardsoni,Melanospiza,Emberizidae; Thraupidae,Passeriformes,Forest,Generalist,20.9,Extant,,Melanospiza richardsoni,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,380,3.8,0,0,0,1,0,0,0,Islands,1,0,0,0,0,1,0,0,0,0,Landbirds
Melopyrrha grandis,Melopyrrha,Thraupidae,Passeriformes,Forest,Insessorial,32,Extant,,Melopyrrha grandis,Landbirds,Volant,Yes,Birds of the World,,,,,,,,,,,,,,,,,,,,,,Landbirds
Mergus australis,Mergus,Anatidae,Anseriformes,Riverine; Wetland,Aquatic,1170.79833333333,Extinct,Genus average,Mergus australis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Mesitornis unicolor,Mesitornis,Mesitornithidae,Mesitornithiformes,Forest,Terrestrial,148,Extant,,Mesitornis unicolor,Landbirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,altitudinal migrant,140000,4.2,0,0,1,0,0,0,0,,,0,0,0,1,0,0,0,0,0,Flightless Landbirds
Mimus melanotis,Mimus,Mimidae,Passeriformes,Shrubland,Terrestrial,50.52,Extant,,Mimus melanotis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,630,5.3,0,0,0,1,0,0,0,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Mimus trifasciatus,Mimus,Mimidae,Passeriformes,Shrubland,Generalist,62.6866666666667,Extant,,Mimus trifasciatus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,17,5.3,0,0,0,1,0,0,0,Islands,2,0,0,0,0,1,0,0,0,0,Landbirds
Moho bishopi,Moho,Mohoidae,Passeriformes,Forest,"",,Extinct,Wikipedia,Moho bishopi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,Landbirds
Moho braccatus,Moho,Mohoidae,Passeriformes,Forest,"",,Extinct,Wikipedia,Moho braccatus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,Landbirds
Mohoua ochrocephala,Mohoua,Acanthizidae; Mohouidae,Passeriformes,Forest,Insessorial,27.6933333333333,Extant,,Mohoua ochrocephala,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,115000,7,0,0,0,0,0,0,1,Islands,12,0,0,0,1,0,0,0,0,0,Landbirds
Monias benschi,Monias,Mesitornithidae,Mesitornithiformes,Woodland,Terrestrial,137.926666666667,Extant,,Monias benschi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,13400,6,0,0,1,0,0,0,0,,,0,0,0,1,1,0,0,0,0,Landbirds
Mundia elpenor,Mundia,Rallidae,Gruiformes,Desert,Terrestrial,,Extinct,Wikipedia,Mundia elpenor,Landbirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Flightless Landbirds
Myadestes obscurus,Myadestes,Turdidae,Passeriformes,Forest,Insessorial,50.4266666666667,Extant,,Myadestes obscurus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,1,1,1,0,0,0,0,Landbirds
Myadestes palmeri,Myadestes,Turdidae,Passeriformes,Forest,Insessorial,39.6,Extant,,Myadestes palmeri,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,43,4.5,0,0,0,0,0,0,1,Islands,1,0,0,0,1,0,1,0,0,0,Landbirds
Myzomela chermesina,Myzomela,Meliphagidae,Passeriformes,Forest,Insessorial,10.8266666666667,Extant,,Myzomela chermesina,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,50,6,0,0,0,0,0,1,1,,,0,0,0,1,1,0,0,0,0,Landbirds
Nannopterum harrisi,Nannopterum,Phalacrocoracidae,Suliformes,Marine,Aquatic,3016.61,Extant,,Nannopterum harrisi,Seabirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,Flightless Seabirds
Nesillas aldabrana,Nesillas,Acrocephalidae; Sylviidae,Passeriformes,Forest; Shrubland,Insessorial,18.0942857142857,Extinct,Genus average,Nesillas aldabrana,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,1,1,0,0,0,0,Landbirds
Nesoenas cicur,Nesoenas,Columbidae,Columbiformes,Forest,Generalist; Terrestrial,252.38,Extinct,Genus average,Nesoenas cicur,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Nesoenas duboisi,Nesoenas,Columbidae,Columbiformes,Forest,Generalist; Terrestrial,252.38,Extinct,Genus average,Nesoenas duboisi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Nesoenas mayeri,Nesoenas,Columbidae,Columbiformes,Forest,Generalist,302.773333333333,Extant,,Nesoenas mayeri,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,320,5.6,0,0,1,0,0,0,0,Islands,2,0,0,0,1,0,0,0,0,0,Landbirds
Nesoenas rodericanus,Nesoenas,Columbidae,Columbiformes,Forest,Generalist; Terrestrial,252.38,Extinct,Genus average,Nesoenas rodericanus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Nesofregetta fuliginosa,Nesofregetta,Hydrobatidae; Oceanitidae,Procellariiformes,Marine,Aerial,70,Extant,,Nesofregetta fuliginosa,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,full migrant,32000000,15.2,0,0,0,1,0,0,1,Islands,16,0,0,0,0,1,1,1,0,0,Seabirds
Nesospiza acunhae,Nesospiza,Emberizidae; Thraupidae,Passeriformes,Shrubland,Generalist,28.5266666666667,Extant,,Nesospiza acunhae,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,19,3.8,0,0,1,0,0,0,0,,,0,0,0,0,1,0,0,0,0,Landbirds
Nestor meridionalis,Nestor,Psittacidae; Strigopidae,Psittaciformes,Forest,Insessorial,428.006666666667,Extant,,Nestor meridionalis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,461000,12,0,0,0,0,0,1,1,Islands,18,0,0,0,1,0,0,0,0,0,Landbirds
Notiomystis cincta,Notiomystis,Meliphagidae; Notiomystidae,Passeriformes,Forest,Insessorial,93.38,Extant,,Notiomystis cincta,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,22300,5.8,0,0,0,0,0,0,1,,,0,0,0,1,0,0,0,0,0,Landbirds
Onychoprion aleuticus,Onychoprion,Laridae,Charadriiformes,Coastal,Aerial,120,Extant,,Onychoprion aleuticus,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,6660000,10.9,1,1,0,0,1,0,0,,,0,0,1,0,0,0,0,0,0,Landbirds
Oreomystis bairdi,Oreomystis,Fringillidae,Passeriformes,Forest,Insessorial,14.2266666666667,Extant,,Oreomystis bairdi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,120,5.7,0,0,0,0,0,0,1,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Otidiphaps insularis,Otidiphaps,Columbidae,Columbiformes,Forest,Terrestrial,499.99,Extant,,Otidiphaps insularis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,1700,6.6,0,0,0,0,0,1,0,,,0,0,1,0,0,0,0,0,0,Landbirds
Otus capnodes,Otus,Strigidae,Strigiformes,Forest,Insessorial,119,Extant,,Otus capnodes,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,350,3.7,0,0,1,0,0,0,0,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Otus insularis,Otus,Strigidae,Strigiformes,Forest,Insessorial,144,Extant,,Otus insularis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,46,3.7,0,0,1,0,0,0,0,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Otus moheliensis,Otus,Strigidae,Strigiformes,Forest,Insessorial,104.98,Extant,,Otus moheliensis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Otus pauliani,Otus,Strigidae,Strigiformes,Forest,Insessorial,69.4933333333333,Extant,,Otus pauliani,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,220,3.7,0,0,1,0,0,0,0,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Pachycephala jacquinoti,Pachycephala,Pachycephalidae,Passeriformes,Forest,Insessorial,36,Extant,,Pachycephala jacquinoti,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,2100,6.7,0,0,0,0,0,1,1,,,0,0,0,1,0,0,0,0,0,Landbirds
Pachyptila macgillivrayi,Pachyptila,Procellariidae,Procellariiformes,Marine,Aquatic,159,Extant,,Pachyptila macgillivrayi,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Seabirds
Palmeria dolei,Palmeria,Fringillidae,Passeriformes,Forest,Insessorial,26.08,Extant,,Palmeria dolei,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,60,5.5,0,0,0,0,0,1,1,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Pareudiastes pacificus,Pareudiastes,Rallidae,Gruiformes,NA,Terrestrial,450,Extant,,Pareudiastes pacificus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,Landbirds
Pelecanoides garnotii,Pelecanoides,Pelecanoididae; Procellariidae,Procellariiformes,Marine,Aquatic,219.713333333333,Extant,,Pelecanoides garnotii,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,2420000,11.7,0,0,0,1,0,0,0,Islands,15,0,0,0,0,0,1,0,0,0,Seabirds
Pelecanoides whenuahouensis,Pelecanoides,Procellariidae,Procellariiformes,Marine,Aquatic,121,Extant,,Pelecanoides whenuahouensis,Seabirds,Volant,Yes,Birds of the World,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,Seabirds
Petroica multicolor,Petroica,Petroicidae,Passeriformes,Shrubland,Insessorial,11.3733333333333,Extant,,Petroica multicolor,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,not a migrant,45,6.5,0,0,0,0,0,1,0,,,0,0,0,1,1,0,0,0,0,Landbirds
Petroica traversi,Petroica,Petroicidae,Passeriformes,Forest,Insessorial,23.5,Extant,,Petroica traversi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,29,7,0,0,0,0,0,1,1,Islands,2,0,0,0,1,0,0,0,0,0,Landbirds
Phalacrocorax featherstoni,Phalacrocorax,Phalacrocoracidae,Suliformes,Marine,Aquatic,1041.86666666667,Extant,,Phalacrocorax featherstoni,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,13400,8.7,0,0,0,0,0,0,1,Islands,11,0,0,0,0,0,1,0,0,0,Seabirds
Philesturnus rufusater,Philesturnus,Callaeidae,Passeriformes,Forest,Generalist,74.71,Extant,,Philesturnus rufusater,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,46200,11.5,0,0,0,0,0,1,0,,,0,0,1,1,1,1,0,0,0,Landbirds
Phoebastria immutabilis,Phoebastria,Diomedeidae,Procellariiformes,Marine,Aquatic,3145.92,Extant,,Phoebastria immutabilis,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,49000000,28.5,1,1,0,1,1,0,1,,,0,0,1,0,0,0,0,0,0,Seabirds
Phoebetria fusca,Phoebetria,Diomedeidae,Procellariiformes,Marine,Aquatic,2553.67333333333,Extant,,Phoebetria fusca,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,76200000,30,0,0,1,1,0,1,1,Islands,15,0,0,1,0,0,1,0,0,0,Seabirds
Phoebetria palpebrata,Phoebetria,Diomedeidae,Procellariiformes,Marine,Aquatic,3150,Extant,,Phoebetria palpebrata,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,100000000,44,0,0,1,1,0,0,1,,,0,0,1,0,0,1,0,0,0,Seabirds
Phylloscopus amoenus,Phylloscopus,Phylloscopidae; Sylviidae,Passeriformes,Forest,Generalist,10.52,Extant,,Phylloscopus amoenus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Ploceus grandis,Ploceus,Ploceidae,Passeriformes,Forest,Insessorial,63.4866666666667,Extant,,Ploceus grandis,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,970,4,0,0,1,0,0,0,0,,,0,0,,,,,,,,Landbirds
Pomarea dimidiata,Pomarea,Monarchidae,Passeriformes,Forest,Insessorial,23,Extant,,Pomarea dimidiata,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,2,6.9,0,0,0,0,0,1,1,,,0,0,0,0,1,0,0,0,0,Landbirds
Pomarea fluxa,Pomarea,Monarchidae,Passeriformes,Forest,Insessorial,28.9647058823529,Extinct,Genus average,Pomarea fluxa,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Pomarea mendozae,Pomarea,Monarchidae,Passeriformes,Forest,Insessorial,29.6,Extant,,Pomarea mendozae,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,16,6.9,0,0,0,0,0,1,0,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Pomarea mira,Pomarea,Monarchidae,Passeriformes,Forest,Insessorial,29.6,Extant,,Pomarea mira,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Pomarea nigra,Pomarea,Monarchidae,Passeriformes,Forest,Insessorial,25.4,Extant,,Pomarea nigra,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,30,6.9,0,0,0,0,0,0,1,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Pomarea nukuhivae,Pomarea,Monarchidae,Passeriformes,Forest,Insessorial,28.9647058823529,Extinct,Genus average,Pomarea nukuhivae,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Pomarea whitneyi,Pomarea,Monarchidae,Passeriformes,Forest,Insessorial,42.5,Extant,,Pomarea whitneyi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,1,0,0,0,1,1,0,0,0,0,Landbirds
Porphyrio paepae,Porphyrio,Rallidae,Gruiformes,Grassland; Wetland,Terrestrial,741.955,Extinct,Genus average,Porphyrio paepae,Landbirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Flightless Landbirds
Procellaria aequinoctialis,Procellaria,Procellariidae,Procellariiformes,Marine,Aquatic,1213,Extant,,Procellaria aequinoctialis,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,173000000,24.7,0,0,1,1,0,1,1,,,0,0,0,0,0,1,1,0,0,Seabirds
Procellaria cinerea,Procellaria,Procellariidae,Procellariiformes,Marine,Generalist,1131,Extant,,Procellaria cinerea,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,146000000,21.7,0,0,1,1,0,0,1,,,0,0,0,0,0,1,1,0,0,Seabirds
Procellaria parkinsoni,Procellaria,Procellariidae,Procellariiformes,Marine,Aquatic,702.2,Extant,,Procellaria parkinsoni,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,54300000,34,0,0,0,1,0,1,1,,,0,0,0,1,0,0,1,0,0,Seabirds
Procellaria westlandica,Procellaria,Procellariidae,Procellariiformes,Marine,Aquatic,1199,Extant,,Procellaria westlandica,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,Seabirds
Progne modesta,Progne,Hirundinidae,Passeriformes,Shrubland,Aerial,41.4,Extant,,Progne modesta,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,28700,5.5,0,0,0,1,0,0,1,Islands,12,0,0,0,1,0,1,0,0,0,Landbirds
Prosobonia cancellata,Prosobonia,Scolopacidae,Charadriiformes,Coastal,Terrestrial,36,Extinct,Genus average,Prosobonia cancellata,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,6,,,,,,,,,,Landbirds
Prosobonia ellisi,Prosobonia,Scolopacidae,Charadriiformes,Coastal,Terrestrial,36,Extinct,Genus average,Prosobonia ellisi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Prosobonia leucoptera,Prosobonia,Scolopacidae,Charadriiformes,Coastal,Terrestrial,36,Extinct,Genus average,Prosobonia leucoptera,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Prosobonia parvirostris,Prosobonia,Scolopacidae,Charadriiformes,Coastal,Terrestrial,36,Extant,,Prosobonia parvirostris,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,140000,6.5,0,0,0,0,0,1,0,,,0,0,1,0,0,0,0,0,0,Landbirds
Pseudobulweria aterrima,Pseudobulweria,Procellariidae,Procellariiformes,Marine,Aquatic,232,Extant,,Pseudobulweria aterrima,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,77000,17.7,0,0,1,0,0,0,0,Islands,1,0,0,0,0,0,1,1,0,0,Seabirds
Pseudobulweria becki,Pseudobulweria,Procellariidae,Procellariiformes,Marine,Aquatic,409,Extant,,Pseudobulweria becki,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,1,0,0,0,0,0,0,1,0,0,Seabirds
Pseudobulweria macgillivrayi,Pseudobulweria,Procellariidae,Procellariiformes,Marine,Aquatic,143,Extant,,Pseudobulweria macgillivrayi,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,1,0,0,0,0,0,0,1,0,0,Seabirds
Pseudobulweria rostrata,Pseudobulweria,Procellariidae,Procellariiformes,Marine,Aquatic,409,Extant,,Pseudobulweria rostrata,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,0,0,1,1,0,0,Seabirds
Pseudonestor xanthophrys,Pseudonestor,Fringillidae,Passeriformes,Forest,Insessorial,22.1,Extant,,Pseudonestor xanthophrys,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,49,4.5,0,0,0,0,0,0,1,Islands,1,0,0,0,1,0,0,0,0,0,Landbirds
Psittirostra psittacea,Psittirostra,Fringillidae,Passeriformes,Forest,Insessorial,28.6133333333333,Extant,,Psittirostra psittacea,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,2,,,,,,,,,,Landbirds
Pterodroma alba,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,259,Extant,,Pterodroma alba,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,full migrant,28800000,15.6,0,0,0,0,0,0,1,Islands,16,0,0,1,0,0,0,0,0,0,Seabirds
Pterodroma arminjoniana,Pterodroma,Procellariidae,Procellariiformes,Marine,Aerial,394,Extant,,Pterodroma arminjoniana,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,full migrant,139000000,15.6,0,0,0,1,0,1,0,,,0,0,0,0,0,1,0,0,0,Seabirds
Pterodroma atrata,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,394,Extant,,Pterodroma atrata,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,full migrant,9820000,15.6,0,0,0,0,0,1,1,Islands,5,0,0,1,0,0,1,0,0,0,Seabirds
Pterodroma baraui,Pterodroma,Procellariidae,Procellariiformes,Marine,Aerial,400,Extant,,Pterodroma baraui,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,31300000,15.6,0,0,1,0,1,1,1,Islands,1,0,0,0,0,0,0,1,0,0,Seabirds
Pterodroma brevipes,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,147.066666666667,Extant,,Pterodroma brevipes,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,35100000,15.6,0,0,0,0,0,0,1,,,0,0,1,0,0,0,0,0,0,Seabirds
Pterodroma cahow,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,246,Extant,,Pterodroma cahow,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,full migrant,17500000,15.6,1,0,0,1,0,1,0,Islands,6,0,0,0,0,0,0,1,0,0,Seabirds
Pterodroma caribbaea,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,278,Extant,,Pterodroma caribbaea,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,Islands,1,0,0,0,0,0,1,1,0,0,Seabirds
Pterodroma cookii,Pterodroma,Procellariidae,Procellariiformes,Marine,Aerial,177.906666666667,Extant,,Pterodroma cookii,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,139000000,15.6,1,0,0,1,0,0,1,,,0,0,0,0,0,0,1,0,0,Seabirds
Pterodroma defilippiana,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,169,Extant,,Pterodroma defilippiana,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,full migrant,1900000,15.6,0,0,0,1,0,0,0,,,0,0,1,0,0,1,0,0,0,Seabirds
Pterodroma externa,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,428,Extant,,Pterodroma externa,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,45400000,15.6,1,0,0,1,0,1,1,,,0,0,1,0,0,0,1,0,0,Seabirds
Pterodroma feae,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,311,Extant,,Pterodroma feae,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,0,0,0,1,1,0,0,Seabirds
Pterodroma hasitata,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,278,Extant,,Pterodroma hasitata,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,9060000,16,1,0,0,1,0,1,0,Islands,3,0,0,0,0,0,1,1,0,0,Seabirds
Pterodroma incerta,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,520,Extant,,Pterodroma incerta,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,23300000,15.6,0,0,1,1,0,1,0,Islands,3,0,0,0,0,0,0,1,0,0,Seabirds
Pterodroma inexpectata,Pterodroma,Procellariidae,Procellariiformes,Marine,Aerial,316,Extant,,Pterodroma inexpectata,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,175000000,15.6,0,0,0,0,0,1,1,,,0,0,0,0,0,1,1,0,0,Seabirds
Pterodroma leucoptera,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,147.066666666667,Extant,,Pterodroma leucoptera,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,152000000,15.6,0,0,0,1,0,1,1,,,0,0,1,0,1,1,0,0,0,Seabirds
Pterodroma longirostris,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,143,Extant,,Pterodroma longirostris,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,56600000,15.6,1,1,0,1,0,1,1,,,0,0,0,0,0,0,1,0,0,Seabirds
Pterodroma madeira,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,201.066666666667,Extant,,Pterodroma madeira,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,full migrant,36900000,28,0,1,0,0,0,1,0,Islands,2,0,0,0,0,0,0,1,0,0,Seabirds
Pterodroma magentae,Pterodroma,Procellariidae,Procellariiformes,Marine,Generalist,465,Extant,,Pterodroma magentae,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,full migrant,5420000,19.5,0,0,0,0,0,1,1,Islands,1,0,0,0,0,0,0,1,0,0,Seabirds
